Date1,UK2Y,Date2,US2Y,Date3,GBPUSD
09/07/2012,0.933,09/07/2012,0.521,09/07/2012,1.552553951
10/07/2012,0.9401,10/07/2012,0.5235,10/07/2012,1.551831161
11/07/2012,0.9122,11/07/2012,0.5003,11/07/2012,1.550387597
12/07/2012,0.8732,12/07/2012,0.4805,12/07/2012,1.542971764
13/07/2012,0.8968,13/07/2012,0.4635,13/07/2012,1.557389815
16/07/2012,0.8947,16/07/2012,0.4645,16/07/2012,1.563477173
17/07/2012,0.9094,17/07/2012,0.475,17/07/2012,1.565435191
18/07/2012,0.8488,18/07/2012,0.4615,18/07/2012,1.565190171
19/07/2012,0.8549,19/07/2012,0.4455,19/07/2012,1.572574304
20/07/2012,0.8133,20/07/2012,0.4425,20/07/2012,1.562255898
23/07/2012,0.8023,23/07/2012,0.4475,23/07/2012,1.550868486
24/07/2012,0.8148,24/07/2012,0.44,24/07/2012,1.550628004
25/07/2012,0.8025,25/07/2012,0.4345,25/07/2012,1.549907006
26/07/2012,0.8092,26/07/2012,0.441,26/07/2012,1.568627451
27/07/2012,0.839,27/07/2012,0.4405,27/07/2012,1.57480315
30/07/2012,0.7913,30/07/2012,0.418,30/07/2012,1.571091909
31/07/2012,0.7678,31/07/2012,0.415,31/07/2012,1.567889621
01/08/2012,0.7978,01/08/2012,0.434,01/08/2012,1.55351872
02/08/2012,0.8059,02/08/2012,0.4355,02/08/2012,1.551349674
03/08/2012,0.8257,03/08/2012,0.446,03/08/2012,1.564210856
06/08/2012,0.7757,06/08/2012,0.4355,06/08/2012,1.56030582
07/08/2012,0.8072,07/08/2012,0.46,07/08/2012,1.562255898
08/08/2012,0.8423,08/08/2012,0.47,08/08/2012,1.565680288
09/08/2012,0.857,09/08/2012,0.475,09/08/2012,1.563966218
10/08/2012,0.8375,10/08/2012,0.4695,10/08/2012,1.568873549
13/08/2012,0.855,13/08/2012,0.4655,13/08/2012,1.56838143
14/08/2012,0.855,14/08/2012,0.474,14/08/2012,1.567643831
15/08/2012,0.8518,15/08/2012,0.492,15/08/2012,1.56838143
16/08/2012,0.8752,16/08/2012,0.497,16/08/2012,1.573316551
17/08/2012,0.862,17/08/2012,0.4955,17/08/2012,1.569858713
20/08/2012,0.874,20/08/2012,0.491,20/08/2012,1.571091909
21/08/2012,0.897,21/08/2012,0.4955,21/08/2012,1.578781181
22/08/2012,0.8776,22/08/2012,0.4525,22/08/2012,1.588057805
23/08/2012,0.861,23/08/2012,0.445,23/08/2012,1.586042823
24/08/2012,0.8174,24/08/2012,0.451,24/08/2012,1.581027668
27/08/2012,0.8175,27/08/2012,0.45,27/08/2012,1.579279848
28/08/2012,0.7886,28/08/2012,0.437,28/08/2012,1.581777918
29/08/2012,0.8004,29/08/2012,0.4445,29/08/2012,1.583280557
30/08/2012,0.772,30/08/2012,0.4275,30/08/2012,1.578531965
31/08/2012,0.7689,31/08/2012,0.401,31/08/2012,1.586546089
03/09/2012,0.7588,03/09/2012,0.3981,03/09/2012,1.588562351
04/09/2012,0.7698,04/09/2012,0.3955,04/09/2012,1.587049675
05/09/2012,0.7766,05/09/2012,0.4025,05/09/2012,1.590330789
06/09/2012,0.8025,06/09/2012,0.425,06/09/2012,1.593117731
07/09/2012,0.8051,07/09/2012,0.4035,07/09/2012,1.600768369
10/09/2012,0.8375,10/09/2012,0.396,10/09/2012,1.598976655
11/09/2012,0.8283,11/09/2012,0.3955,11/09/2012,1.606941989
12/09/2012,0.8526,12/09/2012,0.398,12/09/2012,1.610824742
13/09/2012,0.8282,13/09/2012,0.374,13/09/2012,1.615508885
14/09/2012,0.8441,14/09/2012,0.376,14/09/2012,1.621533971
17/09/2012,0.841,17/09/2012,0.3745,17/09/2012,1.624959376
18/09/2012,0.817,18/09/2012,0.3865,18/09/2012,1.624431449
19/09/2012,0.79,19/09/2012,0.3895,19/09/2012,1.622060016
20/09/2012,0.77,20/09/2012,0.393,20/09/2012,1.621533971
21/09/2012,0.7822,21/09/2012,0.389,21/09/2012,1.622849724
24/09/2012,0.7845,24/09/2012,0.396,24/09/2012,1.622060016
25/09/2012,0.7882,25/09/2012,0.403,25/09/2012,1.618646811
26/09/2012,0.803,26/09/2012,0.4215,26/09/2012,1.616553508
27/09/2012,0.788,27/09/2012,0.3995,27/09/2012,1.623640201
28/09/2012,0.7223,28/09/2012,0.3665,28/09/2012,1.616814875
01/10/2012,0.725,01/10/2012,0.365,01/10/2012,1.613163413
02/10/2012,0.708,02/10/2012,0.3795,02/10/2012,1.613163413
03/10/2012,0.6827,03/10/2012,0.369,03/10/2012,1.607458608
04/10/2012,0.6821,04/10/2012,0.3815,04/10/2012,1.619170984
05/10/2012,0.686,05/10/2012,0.4,05/10/2012,1.613684041
08/10/2012,0.644,08/10/2012,0.3935,08/10/2012,1.602564103
09/10/2012,0.6524,09/10/2012,0.384,09/10/2012,1.600512164
10/10/2012,0.669,10/10/2012,0.384,10/10/2012,1.600768369
11/10/2012,0.6736,11/10/2012,0.3855,11/10/2012,1.604621309
12/10/2012,0.676,12/10/2012,0.38,12/10/2012,1.606941989
15/10/2012,0.6852,15/10/2012,0.367,15/10/2012,1.606941989
16/10/2012,0.7102,16/10/2012,0.3615,16/10/2012,1.61108426
17/10/2012,0.705,17/10/2012,0.3855,17/10/2012,1.614726304
18/10/2012,0.712,18/10/2012,0.398,18/10/2012,1.60436387
19/10/2012,0.7124,19/10/2012,0.4,19/10/2012,1.600256041
22/10/2012,0.702,22/10/2012,0.4035,22/10/2012,1.601537476
23/10/2012,0.6768,23/10/2012,0.3955,23/10/2012,1.595405233
24/10/2012,0.6779,24/10/2012,0.3885,24/10/2012,1.603849238
25/10/2012,0.708,25/10/2012,0.418,25/10/2012,1.611863314
26/10/2012,0.69,26/10/2012,0.402,26/10/2012,1.610565308
